USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           193     2          0      0 0                   0 S [irq/283-bcl-lvl1]
root           194     2          0      0 0                   0 S [irq/284-bcl-lvl2]
root           195     2          0      0 0                   0 S [phoenix_hlos_watchdog]
root           197     2          0      0 0                   0 I [freqqos monitor]
root           198     2          0      0 0                   0 S [pmicwd]
root           199     2          0      0 0                   0 I [nvme-wq]
root           200     2          0      0 0                   0 I [nvme-reset-wq]
root           201     2          0      0 0                   0 I [nvme-delete-wq]
root           203     2          0      0 0                   0 S [f2fs_ckpt-8:10]
root           204     2          0      0 0                   0 S [f2fs_flush-8:10]
root           205     2          0      0 0                   0 S [f2fs_discard-8:10]
root           206     2          0      0 0                   0 S [f2fs_gc-8:10]
root           209     2          0      0 0                   0 I [kdmflush]
root           214     2          0      0 0                   0 I [kdmflush]
root           219     2          0      0 0                   0 I [kdmflush]
root           224     2          0      0 0                   0 I [kdmflush]
root           229     2          0      0 0                   0 I [kdmflush]
root           234     2          0      0 0                   0 I [kdmflush]
root           239     2          0      0 0                   0 I [kdmflush]
root           244     2          0      0 0                   0 I [kdmflush]
root           249     2          0      0 0                   0 I [kdmflush]
root           254     2          0      0 0                   0 I [kdmflush]
root           259     2          0      0 0                   0 I [kdmflush]
root           264     2          0      0 0                   0 I [kdmflush]
root           270     2          0      0 0                   0 I [kdmflush]
root           275     2          0      0 0                   0 I [kdmflush]
root           280     2          0      0 0                   0 I [kdmflush]
root           283     2          0      0 0                   0 I [kdmflush]
root           284     2          0      0 0                   0 I [kdmflush]
root           285     2          0      0 0                   0 I [kdmflush]
root           286     2          0      0 0                   0 I [kworker/X18:0-kveritydX]
root           287     2          0      0 0                   0 I [kveritydX]
root           288     2          0      0 0                   0 I [kworker/X18:1-kveritydX]
root           289     2          0      0 0                   0 I [kworker/X18:2-kveritydX]
root           290     2          0      0 0                   0 I [kdmflush]
root           291     2          0      0 0                   0 I [kveritydX]
root           292     2          0      0 0                   0 I [kdmflush]
root           293     2          0      0 0                   0 I [kveritydX]
root           294     2          0      0 0                   0 I [kdmflush]
root           295     2          0      0 0                   0 I [kveritydX]
root           296     2          0      0 0                   0 I [kdmflush]
root           297     2          0      0 0                   0 I [kveritydX]
root           298     2          0      0 0                   0 I [ext4-rsv-conver]
root           299     2          0      0 0                   0 I [kworker/X18:3-kveritydX]
root           300     2          0      0 0                   0 I [kdmflush]
root           301     2          0      0 0                   0 I [kveritydX]
root           302     2          0      0 0                   0 I [ext4-rsv-conver]
root           303     2          0      0 0                   0 I [kdmflush]
root           304     2          0      0 0                   0 I [kveritydX]
root           305     2          0      0 0                   0 I [kdmflush]
root           306     2          0      0 0                   0 I [kveritydX]
root           307     2          0      0 0                   0 I [kdmflush]
root           308     2          0      0 0                   0 I [kveritydX]
